Old_Scam_category,New_Scam_Category
Hacking,Account or Identity Takeover Scams
Identity Theft,Account or Identity Takeover Scams
Remote Access Scams,Account or Identity Takeover Scams
Shopping Scams,Buying and Selling (Products or Services) Scams
False Billing,Buying and Selling (Products or Services) Scams
Health and Medical Products,Buying and Selling (Products or Services) Scams
Mobile Premium Services,Buying and Selling (Products or Services) Scams
Psychic and Clairvoyant,Buying and Selling (Products or Services) Scams
Overpayment Scams,Buying and Selling (Products or Services) Scams
Fake Charity Scams,Donation Scams
Pyramid Schemes,Investment Scams
Betting and Sports Investment Scams,Investment Scams
Investment Scams,Investment Scams
Jobs and Employment Scams,Jobs and Employment Scams
Rebate Scams,Money Recovery Scams
Payment Redirection/ Business Email Compromise Scams,Payment Redirection/ Business Email Compromise Scams
Phishing,Phishing Scams
Dating and Romance Scams,Relationship Scams
Ransomware and Malware,Threat Scams
"Threats to Life, Arrest or Other",Threat Scams
Inheritance and Unexpected Money,Unexpected Money Scams
"Travel, Prizes and Lottery Scams",Unexpected Money Scams
Other Scams,Other Scams
